dataset,model,model_type,modality,ACC2_Non0,F1_Non0,ACC2_Has0,F1_Has0,MAE,Corr,ACC7,seed,best_epoch,source_phase,config_path,output_dir,best_model_path,predictions_test_path,metrics_path,credibility,can_enter_paper,freeze_ready,notes
MOSEI,Main (ours),main,text_audio,87.85670916818458,90.25341130604289,N/A,N/A,0.518883406355279,0.800228569169412,54.750059227671166,42,12,P6T,configs/experiments/p6t_prefreeze_mosei_mainline/mosei_main_text_audio_cached_s42.yaml,outputs/P6T_prefreeze/mosei/mainline/text_audio_cached_s42_s42_20260619_222353,EXISTS,MISSING,EXISTS,A,True,True,"residual_gain=0, gate=1.0 - audio branch unused"
MOSEI,Main (ours),main_diagnostic,text_only,88.21585903083701,90.57268722466961,N/A,N/A,0.5085383042062248,0.8127618393107086,55.59853857726198,42,5,P6S_repair,configs/experiments/p6s_repair_mosei_mainline/mosei_text_only_s42.yaml,outputs/P6S_repair/mosei/text_only/mosei_text_only_s42_s42_20260619_160547,EXISTS,MISSING,EXISTS,A,True,True,text-only diagnostic for multimodal gain audit
MOSI,Main (ours),main,text_audio,88.71951219512195,86.64259927797833,N/A,N/A,0.6349693372921676,0.8511410336443309,46.647230320699705,42,12,P6K,configs/experiments/p6k_text_audio_conservative_s42.yaml,outputs/P6K/text_audio_conservative_s42_s42_20260619_031645,EXISTS,MISSING,EXISTS,A,True,True,BEST MOSI main model
MOSEI,misa_lite,baseline,text_audio,82.66545233758349,86.62450222534552,81.18929163705283,86.54237288135593,0.6212830334095149,0.6869410497302527,49.940772328832026,42,12,P6S_repair5,configs/experiments/p6s_repair5_mosei_baselines_fixed/mosei_misa_lite_cached_s42.yaml,outputs/P6S_repair5/mosei/baselines\misa_lite_s42_20260619_191525,EXISTS,EXISTS,EXISTS,A,True,True,
MOSEI,selfmm_lite,baseline,text_audio,82.60473588342441,86.33436680181255,80.21795782989813,85.56611927398444,0.6230327604010655,0.6815803084988804,49.158967069414835,42,12,P6S_repair5,configs/experiments/p6s_repair5_mosei_baselines_fixed/mosei_selfmm_lite_cached_s42.yaml,outputs/P6S_repair5/mosei/baselines\selfmm_lite_s42_20260619_191140,EXISTS,EXISTS,EXISTS,A,True,True,
MOSEI,mult_lite,baseline,text_audio,82.39222829386765,86.17072007629947,79.93366500829188,85.34855561321571,0.6110623363812326,0.7046755960155081,48.898365316275765,42,11,P6S_repair5,configs/experiments/p6s_repair5_mosei_baselines_fixed/mosei_mult_lite_cached_s42.yaml,outputs/P6S_repair5/mosei/baselines\mult_lite_s42_20260619_190803,EXISTS,EXISTS,EXISTS,A,True,True,
MOSEI,lmf_lite,baseline,text_audio,81.84578020643595,85.66634707574306,80.00473821369344,85.39792387543251,0.6237103385619998,0.6821122555072158,48.969438521677326,42,8,P6S_repair5,configs/experiments/p6s_repair5_mosei_baselines_fixed/mosei_lmf_lite_cached_s42.yaml,outputs/P6S_repair5/mosei/baselines\lmf_lite_s42_20260619_191523,EXISTS,EXISTS,EXISTS,A,True,True,
MOSEI,tfn_lite,baseline,text_audio,81.48148148148148,85.68747067104646,80.52594171997157,86.07723577235772,0.6378793739500811,0.6640890487773471,48.70883676853826,42,7,P6S_repair5,configs/experiments/p6s_repair5_mosei_baselines_fixed/mosei_tfn_lite_cached_s42.yaml,outputs/P6S_repair5/mosei/baselines\tfn_lite_s42_20260619_191523,EXISTS,EXISTS,EXISTS,A,True,True,
MOSEI,mlcl_lite,baseline,text_audio,80.66180935033394,84.2443729903537,77.42241175076995,82.92420713133846,0.6559591679261267,0.6494013404027899,47.28737266050699,42,6,P6S_repair5,configs/experiments/p6s_repair5_mosei_baselines_fixed/mosei_mlcl_lite_cached_s42.yaml,outputs/P6S_repair5/mosei/baselines\mlcl_lite_s42_20260619_191530,EXISTS,EXISTS,EXISTS,A,True,True,
MOSEI,dlf_lite,baseline,text_audio,77.89921068609593,82.98270219728845,77.04335465529495,83.55117976574435,0.7326247869405849,0.5549099281113575,44.18384269130538,42,2,P6S_repair5,configs/experiments/p6s_repair5_mosei_baselines_fixed/mosei_dlf_lite_cached_s42.yaml,outputs/P6S_repair5/mosei/baselines\dlf_lite_s42_20260619_191533,EXISTS,EXISTS,EXISTS,A,True,True,
MOSI,tfn_lite,baseline,text_audio,77.59146341463415,71.00591715976333,N/A,N/A,1.0778369896179039,0.6143674185050408,29.300291545189506,42,25,P6P/P6Q,MISSING (rescue phase),outputs/P6Q/baseline_rescue/mosi/tfn_lite_s42_20260619_135758,EXISTS,EXISTS,EXISTS,A,True,True,MOSI rescue result
MOSI,mult_lite,baseline,text_audio,77.13414634146342,71.80451127819548,N/A,N/A,0.9422109662202178,0.6410570528977934,36.88046647230321,42,27,P6P/P6Q,MISSING (rescue phase),outputs/P6P/baseline_rescue/mosi/mult_lite_s42_20260619_134203,EXISTS,EXISTS,EXISTS,A,True,True,MOSI rescue result
MOSI,selfmm_lite,baseline,text_audio,76.67682926829268,73.11072056239016,N/A,N/A,1.0243650497407069,0.6137376778717901,28.86297376093295,42,27,P6P/P6Q,MISSING (rescue phase),outputs/P6P/baseline_rescue/mosi/selfmm_lite_s42_20260619_133527,EXISTS,EXISTS,EXISTS,A,True,True,MOSI rescue result
MOSI,lmf_lite,baseline,text_audio,75.60975609756098,72.41379310344827,N/A,N/A,1.0449760418721956,0.5857818150257373,32.06997084548105,42,14,P6P/P6Q,MISSING (rescue phase),outputs/P6Q/baseline_rescue/mosi/lmf_lite_s42_20260619_140344,EXISTS,EXISTS,EXISTS,A,True,True,MOSI rescue result
